ID,i01,i02,i03,i04,i05,i06,i07,i08,i09,i10,i11,i12,i13,i14,i15,i16,i17,i18,i19,i20,i21,i22,i23,i24,i25,i26,i27,i28,i29,i30,i31,i32,i33,i34,i35
1,1,1,0,1,-1,-1,1,-1,1,1,0,0,-1,0,0,1,1,-1,-1,0,1,1,-1,0,1,0,0,1,-1,1,0,2,1,1,
2,1,2,2,2,2,2,2,-2,2,2,0,2,0,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,
3,2,1,2,2,2,2,2,1,1,1,0,1,0,1,1,1,2,0,2,1,2,1,1,1,2,1,2,2,0,1,0,1,1,1,
4,0,1,2,2,1,2,0,1,1,1,0,1,-1,0,1,1,1,1,1,1,1,1,-2,-1,-2,1,2,2,2,1,1,2,2,2,
5,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1,1,1,1,1,0,1,-1,1,1,1,0,1,1,1,1,1,
6,-1,1,2,2,2,2,0,-2,0,1,1,1,0,0,1,2,2,2,2,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,
7,2,2,0,1,1,1,1,1,2,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,
8,2,2,2,2,1,2,2,2,2,2,2,1,0,0,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,
9,1,2,2,2,2,2,2,0,1,2,1,1,0,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,
10,2,2,-1,2,2,2,2,-1,2,2,1,-1,-2,-1,0,1,1,2,2,2,2,1,0,-2,1,2,2,1,0,1,1,1,1,1,
11,2,2,1,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
12,1,1,0,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
13,1,1,1,1,1,1,0,-1,0,0,1,0,-1,0,0,1,0,1,1,1,1,0,0,0,1,1,2,2,2,2,2,2,2,2,
14,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
15,2,2,2,2,2,2,2,0,2,2,1,0,-1,2,-1,2,2,2,2,2,2,2,0,1,2,2,2,2,2,2,2,2,2,2,
16,1,1,-1,0,0,-1,0,0,0,1,0,0,-1,-2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,
17,1,1,1,1,1,1,1,0,1,1,-1,0,0,1,1,1,1,1,1,1,1,2,1,0,1,2,2,2,2,2,2,2,2,2,
18,2,2,1,2,2,2,1,2,2,1,1,-1,-1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
19,0,2,2,2,2,2,2,1,2,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,
20,2,2,2,2,1,2,2,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,
21,1,0,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,
22,0,1,1,2,2,2,2,2,2,1,1,2,-2,2,2,2,2,2,2,1,1,0,0,-2,-2,2,2,2,2,2,2,2,2,2,
23,1,2,1,2,1,2,2,2,1,1,1,1,-2,0,1,1,1,2,-2,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,
24,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
25,1,2,0,2,2,2,2,-1,1,1,-1,1,0,1,1,2,2,2,2,2,2,2,1,0,1,2,2,2,2,2,1,2,2,2,
26,2,2,2,2,2,2,2,2,2,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,
27,2,2,2,2,2,2,2,2,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
28,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,-1,1,1,1,0,1,1,1,1,1,
29,1,1,2,1,1,2,2,1,1,1,1,1,1,0,1,0,0,1,2,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,
30,2,2,2,2,1,2,2,-1,1,1,1,2,-1,2,0,1,2,2,2,2,2,2,0,1,1,1,2,2,2,2,1,2,1,1,
31,0,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
32,1,1,2,2,2,2,2,0,1,1,1,2,-1,2,1,2,1,1,2,2,1,1,0,1,1,1,1,2,2,1,1,1,1,1,
33,1,1,-1,1,1,1,1,-1,0,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
